Record_ID,Reference_Year,Season_Year,Season,Geography,Geography_Type,Major_Sown_Ha,Minor_Sown_Ha,Rainfed_Sown_Ha,All_Sown_Ha,Major_Harvested_Ha,Minor_Harvested_Ha,Rainfed_Harvested_Ha,All_Harvested_Ha,Major_Yield_kg_per_ha,Minor_Yield_kg_per_ha,Rainfed_Yield_kg_per_ha,Average_Yield_kg_per_ha,Nett_Harvested_Ha,Total_Production_MT
1,2005,2005/06,Maha,AMPARA,District,54943,2031,5741,62715,54942,2031,5660,62632,4729,3823,3364,4576,59858,273932
2,2005,2005/06,Maha,ANURADHAPURA,District,27316,31093,3373,61782,27306,31030,3369,61705,4778,4383,3694,4520,49617,224258
3,2005,2005/06,Maha,BADULLA,District,10395,8555,3212,22162,10394,8550,3212,22156,4767,4030,3354,4278,18832,80562
4,2005,2005/06,Maha,BATTICALOA,District,17289,2058,27426,46772,17156,2040,27378,46573,3346,3145,3125,3207,41106,131830
5,2005,2005/06,Maha,COLOMBO,District,100,1087,3236,4422,100,1085,3231,4416,3944,2858,3394,3275,3754,12292
6,2005,2005/06,Maha,GALLE,District,,175,13929,14104,,175,13905,14079,,3861,3493,3498,11019,38540
7,2005,2005/06,Maha,GAMPAHA,District,1227,1086,7522,9835,1213,1071,7469,9753,3863,3541,3570,3603,8290,29869
8,2005,2005/06,Maha,HAMBANTOTA,District,15241,3527,1112,19881,15241,3521,1111,19873,5249,4595,4099,5069,17363,88006
9,2005,2005/06,Maha,JAFFNA,District,,,7568,7568,,,7249,7249,,,1977,1977,6433,12719
10,2005,2005/06,Maha,KALUTARA,District,94,1896,11207,13197,93,1885,11182,13160,3207,3006,2833,2861,12140,34729
11,2005,2005/06,Maha,KANDY,District,3859,5174,3752,12784,3859,4993,3744,12595,4726,3261,2960,3620,9960,36060
12,2005,2005/06,Maha,KEGALLE,District,,2223,6554,8777,,2223,6553,8776,,3940,4063,4032,8221,33151
13,2005,2005/06,Maha,KILLINOCHCHI,District,6589,446,9429,16464,5731,388,8205,14324,3542,2538,3246,3345,12711,42522
14,2005,2005/06,Maha,KURUNEGALA,District,12691,32699,27942,73331,12691,32636,27879,73205,4262,3542,3512,3655,73205,267590
15,2005,2005/06,Maha,MANNAR,District,8375,1334,6,9715,8040,1280,6,9326,4251,3234,,4108,8904,36584
16,2005,2005/06,Maha,MATALE,District,5144,7221,3541,15906,5144,7206,3523,15874,4176,3177,3047,3472,14275,49562
17,2005,2005/06,Maha,MATARA,District,3541,2901,8341,14782,3541,2899,8228,14667,4437,3676,3971,4025,11580,46608
18,2005,2005/06,Maha,MONARAGALA,District,5444,6154,5148,16746,5444,6154,5148,16746,4700,3616,3578,3957,16411,64932
19,2005,2005/06,Maha,MULATIVU,District,3795,2026,3760,9581,3562,1974,3699,9235,3883,3125,3641,3624,8713,31576
20,2005,2005/06,Maha,NUWARAELIYA,District,1244,4569,121,5935,1244,4569,121,5934,3795,3934,3581,3898,3344,13032
21,2005,2005/06,Maha,POLONNARUWA,District,50434,1610,1132,53176,49922,1607,1131,52659,4955,4460,3627,4911,46582,228781
22,2005,2005/06,Maha,PUTTALAM,District,5309,5361,689,11360,5287,5296,680,11263,3762,3095,3807,3451,9573,33039
23,2005,2005/06,Maha,RATNAPURA,District,1868,6645,3705,12219,1868,6631,3696,12196,4440,2836,2605,3012,10366,31221
24,2005,2005/06,Maha,TRINCOMALEE,District,14918,2918,5907,23743,14565,2897,5733,23195,4300,3419,3390,3965,21548,85439
25,2005,2005/06,Maha,VAVUNIYA,District,2910,6169,251,9330,2896,6156,251,9303,4023,3862,3341,3898,8777,34214
26,2005,2005,Yala,AMPARA,District,54705,1436,183,56324,54703,1436,183,56322,4775,4452,4452,4766,53827,256551
27,2005,2005,Yala,ANURADHAPURA,District,17126,7150,18,24294,17126,7117,18,24261,4316,4018,3331,4228,19508,82477
28,2005,2005,Yala,BADULLA,District,8273,3099,22,11394,8273,3099,22,11394,4551,3457,3457,4251,9685,41170
29,2005,2005,Yala,BATTICALOA,District,15458,1261,,16719,15455,1253,,16707,3418,3854,,3451,14746,50882
30,2005,2005,Yala,COLOMBO,District,63,580,1621,2263,63,578,1616,2257,2138,2252,2506,2431,1918,4663
31,2005,2005,Yala,GALLE,District,,72,9342,9414,,61,9275,9336,,3499,2783,2788,7306,20369
32,2005,2005,Yala,GAMPAHA,District,819,347,2321,3487,793,347,2268,3408,3369,3261,2441,2741,2897,7938
33,2005,2005,Yala,HAMBANTOTA,District,13559,2269,805,16633,13485,2210,798,16492,4357,3449,2916,4166,14409,60028
34,2005,2005,Yala,JAFFNA,District,,,,,,,,,,,,,,
35,2005,2005,Yala,KALUTARA,District,75,1678,9726,11479,73,1668,9705,11446,2437,2444,2316,2335,10559,24656
36,2005,2005,Yala,KANDY,District,3828,2685,2338,8852,3827,2647,2300,8774,4657,2494,2691,3489,6938,24208
37,2005,2005,Yala,KEGALLE,District,,1880,5894,7774,,1877,5873,7750,,3127,3062,3078,7260,22346
38,2005,2005,Yala,KILLINOCHCHI,District,5347,42,,5389,4685,39,,4724,3599,3350,,3597,4192,15078
39,2005,2005,Yala,KURUNEGALA,District,9271,17850,17841,44961,9068,15010,12695,36773,3867,2763,2532,2955,36773,108670
40,2005,2005,Yala,MANNAR,District,958,135,,1093,939,132,,1071,4141,3815,,4101,1023,4194
41,2005,2005,Yala,MATALE,District,2144,2774,450,5368,2140,2703,434,5276,3257,3275,2519,3205,4745,15210
42,2005,2005,Yala,MATARA,District,3637,2803,7676,14115,3628,2801,7673,14103,4060,3295,2794,3219,11134,35843
43,2005,2005,Yala,MONARAGALA,District,3622,2371,121,6114,3620,2342,121,6082,3951,3377,2988,3711,5961,22121
