"Geography","N","Mean_Yield","SD_Yield","Median_Yield","Minimum_Yield","Maximum_Yield"
"AMPARA",40,4651.925,548.003761333713,4809,2857,5532
"ANURADHAPURA",40,4532.775,518.848947313382,4584,2873,5574
"BADULLA",40,4425.4,453.551840250783,4451,3027,5120
"BATTICALOA",40,3475.55,722.696444769207,3614,1639,4811
"COLOMBO",40,3045.25,461.368630078501,3122.5,1975,3723
"GALLE",40,3030.15,402.353432463779,2995,2169,3980
"GAMPAHA",40,3277.075,394.563204614796,3280,2493,4240
"HAMBANTOTA",40,5340.975,600.26180132356,5269,3969,6622
"JAFFNA",20,2565.85,601.042539435044,2527.5,1547,4224
"KALUTARA",40,2981.45,374.173136258385,2935.5,2330,3644
"KANDY",40,3761.75,398.691047406449,3749.5,2859,4720
"KEGALLE",40,3430.625,535.810849111551,3361.5,2548,4721
"KILLINOCHCHI",37,3733.81081081081,839.409674772755,3689,2005,5630
"KURUNEGALA",40,3817.15,453.357081768603,3767.5,2775,4806
"MANNAR",39,4377.97435897436,830.196250964018,4288,2184,5694
"MATALE",40,4244.55,616.493889170538,4284.5,2768,5669
"MATARA",40,3590.975,393.604414681048,3629.5,2730,4584
"MONARAGALA",40,4152.65,431.367328149539,4106,2987,5122
"MULATIVU",38,3785.10526315789,827.101575169112,3641.5,2305,5316
"NUWARAELIYA",40,3852.15,565.394282666349,3901.5,2715,5282
"POLONNARUWA",40,4918.275,459.147760558234,4999.5,3103,5716
"PUTTALAM",40,3849.85,445.405234676158,3849.5,2415,4652
"RATNAPURA",40,3790.1,517.394498102431,3692.5,3012,5097
"TRINCOMALEE",40,4366.55,630.442658894404,4459,2388,5268
"VAVUNIYA",40,4298.275,675.272024484416,4290,2373,5638
