"Variable","Missing_Count","Missing_Percentage"
"Record_ID",0,0
"Reference_Year",0,0
"Season_Year",0,0
"Season",0,0
"Geography",0,0
"Geography_Type",0,0
"Major_Sown_Ha",104,10.4
"Minor_Sown_Ha",50,5
"Rainfed_Sown_Ha",131,13.1
"All_Sown_Ha",26,2.6
"Major_Harvested_Ha",103,10.3
"Minor_Harvested_Ha",52,5.2
"Rainfed_Harvested_Ha",132,13.2
"All_Harvested_Ha",26,2.6
"Major_Yield_kg_per_ha",103,10.3
"Minor_Yield_kg_per_ha",51,5.1
"Rainfed_Yield_kg_per_ha",135,13.5
"Average_Yield_kg_per_ha",26,2.6
"Nett_Harvested_Ha",26,2.6
"Total_Production_MT",26,2.6
